Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,filterCacheBy,Long Statement,The length of the statement "output=input.stream().filter(file -> file.toString().toLowerCase(ROOT).contains(pathSeparator + key.toLowerCase(ROOT))).collect(toList());" is 138.,57
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getDriverFromCache,Complex Conditional,The conditional expression os.equalsIgnoreCase("win") && (driverManagerType == CHROME || driverManagerType == CHROMIUM) is complex.,80
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getDriverFromCache,Long Parameter List,The method has 5 parameters. ,80
wdm,io.github.bonigarcia.wdm.config,Config,getBrowserVersionDetectionCommand,Long Identifier,The length of the field browserVersionDetectionCommand is 30.,1024
wdm,io.github.bonigarcia.wdm.config,Config,setBrowserVersionDetectionCommand,Long Identifier,The length of the field browserVersionDetectionCommand is 30.,1028
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1105
wdm,io.github.bonigarcia.wdm.config,Config,getDockerVideoSize,Magic Number,The method contains a magic number: 2,1192
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserSelenoidImageFormat,Long Identifier,The length of the field dockerBrowserSelenoidImageFormat is 32.,1273
wdm,io.github.bonigarcia.wdm.config,Config,setDockerBrowserSelenoidImageFormat,Long Identifier,The length of the field dockerBrowserSelenoidImageFormat is 32.,1277
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserTwilioImageFormat,Long Identifier,The length of the field dockerBrowserTwilioImageFormat is 30.,1282
wdm,io.github.bonigarcia.wdm.config,Config,setDockerBrowserTwilioImageFormat,Long Identifier,The length of the field dockerBrowserTwilioImageFormat is 30.,1286
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserMobileImageFormat,Long Identifier,The length of the field dockerBrowserMobileImageFormat is 30.,1305
wdm,io.github.bonigarcia.wdm.config,Config,setDockerBrowserMobileImageFormat,Long Identifier,The length of the field dockerBrowserMobileImageFormat is 30.,1309
wdm,io.github.bonigarcia.wdm.docker,DockerHost,DockerHost,Magic Number,The method contains a magic number: 2,55
wdm,io.github.bonigarcia.wdm.docker,DockerService,DockerService,Complex Conditional,The conditional expression config.isDockerLocalFallback() && !isRunningInsideDocker() && !isDockerAvailable() is complex.,104
wdm,io.github.bonigarcia.wdm.docker,DockerService,isRunningInsideDocker,Long Statement,The length of the statement "return isCommandResultPresent("cat /proc/self/cgroup | grep docker") || isCommandResultPresent("cat /proc/self/mountinfo | grep docker/containers");" is 148.,160
