Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
wdm,io.github.bonigarcia.wdm.config,Architecture,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: archLabels
wdm,io.github.bonigarcia.wdm.config,Config,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 217 public methods
wdm,io.github.bonigarcia.wdm.config,DriverManagerType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: browserClass
wdm,io.github.bonigarcia.wdm.config,OperatingSystem,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: osLabels
wdm,io.github.bonigarcia.wdm.config,WebDriverManagerException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.docker,DockerContainer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
wdm,io.github.bonigarcia.wdm.docker,DockerContainer.DockerBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.docker,DockerContainer.DockerBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: imageId; binds; envs; cmd; network; entryPoint; mounts; shmSize; privileged; sysadmin; exposedPorts; extraHosts
wdm,io.github.bonigarcia.wdm.docker,DockerHost,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; DEFAULT_ADDRESS; DEFAULT_PORT; DEFAULT_UNIX_ENDPOINT; DEFAULT_WINDOWS_ENDPOINT; host; uri; bindUri; address; port; certPath; endpoint
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.DockerHubTag,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.DockerHubTag,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; fullSize; images; id; repository; creator; lastUpdater; lastUpdated; imageId; v2
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.Image,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.Image,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: size; architecture; variant; features; os; osVersion; osFeatures
wdm,io.github.bonigarcia.wdm.docker,DockerService,Feature Envy,The tool detected a instance of this smell because getDockerImageFormat is more interested in members of the type: Config
wdm,io.github.bonigarcia.wdm.docker,DockerService,Feature Envy,The tool detected a instance of this smell because startBrowserContainer is more interested in members of the type: Config
wdm,io.github.bonigarcia.wdm.docker,DockerService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; NETWORK_HOST; DEFAULT_GATEWAY; BETA; DEV; LATEST_MINUS; RECORDING_EXT; SEPARATOR; DATE_FORMAT; POLL_TIME_MSEC; config; httpClient; dockerClient; resolutionCache; dockerHostUri
wdm,io.github.bonigarcia.wdm.docker,DockerService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
wdm,io.github.bonigarcia.wdm.managers,ChromiumDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.managers,EdgeDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.managers,FirefoxDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.managers,InternetExplorerDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.managers,OperaDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.managers,SafariDriverManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,Downloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wdm,io.github.bonigarcia.wdm.online,Downloader,Feature Envy,The tool detected a instance of this smell because getTarget is more interested in members of the type: Config
