Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,filterCacheBy,Long Statement,The length of the statement "output=input.stream().filter(file -> file.toString().toLowerCase(ROOT).contains(pathSeparator + key.toLowerCase(ROOT))).collect(toList());" is 138.,57
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getDriverFromCache,Complex Conditional,The conditional expression os.equalsIgnoreCase("win") && (driverManagerType == CHROME || driverManagerType == CHROMIUM) is complex.,80
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getDriverFromCache,Long Parameter List,The method has 5 parameters. ,80
wdm,io.github.bonigarcia.wdm.config,Config,getBrowserVersionDetectionCommand,Long Identifier,The length of the field browserVersionDetectionCommand is 30.,1026
wdm,io.github.bonigarcia.wdm.config,Config,setBrowserVersionDetectionCommand,Long Identifier,The length of the field browserVersionDetectionCommand is 30.,1030
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerMemSizeBytes,Magic Number,The method contains a magic number: 1024,1107
wdm,io.github.bonigarcia.wdm.config,Config,getDockerVideoSize,Magic Number,The method contains a magic number: 2,1194
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserSelenoidImageFormat,Long Identifier,The length of the field dockerBrowserSelenoidImageFormat is 32.,1275
wdm,io.github.bonigarcia.wdm.config,Config,setDockerBrowserSelenoidImageFormat,Long Identifier,The length of the field dockerBrowserSelenoidImageFormat is 32.,1279
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserTwilioImageFormat,Long Identifier,The length of the field dockerBrowserTwilioImageFormat is 30.,1284
wdm,io.github.bonigarcia.wdm.config,Config,setDockerBrowserTwilioImageFormat,Long Identifier,The length of the field dockerBrowserTwilioImageFormat is 30.,1288
wdm,io.github.bonigarcia.wdm.config,Config,getTarget,Complex Conditional,The conditional expression os.isWin() && !VersionDetector.isCfT(driverVersion) && (driverManagerType == DriverManagerType.CHROME || driverManagerType == DriverManagerType.CHROMIUM) is complex.,1306
wdm,io.github.bonigarcia.wdm.config,Config,getTarget,Long Statement,The length of the statement "if (os.isWin() && !VersionDetector.isCfT(driverVersion) && (driverManagerType == DriverManagerType.CHROME || driverManagerType == DriverManagerType.CHROMIUM)) {" is 160.,1306
wdm,io.github.bonigarcia.wdm.config,Config,getTarget,Long Statement,The length of the statement "return isAvoidOutputTree() ? cachePath + zip : cachePath + File.separator + driverName+ File.separator+ osName+ architecture+ File.separator+ driverVersion+ zip;" is 161.,1306
wdm,io.github.bonigarcia.wdm.config,Config,getDockerBrowserMobileImageFormat,Long Identifier,The length of the field dockerBrowserMobileImageFormat is 30.,1326
