Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,CacheHandler,3,1,1,53,0,,
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,filterCacheBy,9,2,3,57,0,,
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getFilesInCache,5,1,0,73,0,,
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,getDriverFromCache,24,5,5,80,0,io.github.bonigarcia.wdm.cache.CacheHandler,io.github.bonigarcia.wdm.cache.CacheHandler
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,keys,3,1,0,56,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,ResolutionCache,21,4,1,66,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,getValueFromResolutionCache,3,1,1,93,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,getExpirationDateFromResolutionCache,11,1,1,97,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,putValueInResolutionCacheIfEmpty,13,3,3,109,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,storeProperties,8,1,0,126,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,clearFromResolutionCache,5,1,1,136,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,clear,5,1,0,142,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,checkValidity,10,2,3,148,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,formatDate,3,1,1,163,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,getExpirationKey,3,1,1,167,0,,
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,checkKeyInResolutionCache,3,1,1,171,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,checkKeyInResolutionCache,15,4,2,175,0,io.github.bonigarcia.wdm.cache.ResolutionCache,io.github.bonigarcia.wdm.cache.ResolutionCache
wdm,io.github.bonigarcia.wdm.config,Config,resolve,6,1,1,281,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,resolver,14,4,3,289,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,parse,27,6,2,304,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getProperty,17,3,1,328,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,getPropertyFrom,10,1,2,345,0,,
wdm,io.github.bonigarcia.wdm.config,Config,reset,12,3,0,356,0,,
wdm,io.github.bonigarcia.wdm.config,Config,defaultOsName,13,4,0,368,0,,
wdm,io.github.bonigarcia.wdm.config,Config,defaultArchitecture,6,2,0,380,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isNullOrEmpty,3,1,1,387,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isExecutable,3,1,1,391,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getProperties,3,1,0,399,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setProperties,4,1,1,403,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFileFromPath,7,2,1,408,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getCacheFolder,3,1,0,416,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,getCachePath,3,1,0,420,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,resolvePath,11,4,1,424,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setCachePath,4,1,1,439,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getResolutionCachePath,7,2,0,444,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,setResolutionCachePath,4,1,1,452,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isForceDownload,3,1,0,457,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setForceDownload,4,1,1,461,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isUseMirror,3,1,0,466,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setUseMirror,4,1,1,470,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isUseBetaVersions,3,1,0,475,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setUseBetaVersions,4,1,1,479,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidExport,3,1,0,484,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidExport,4,1,1,488,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidOutputTree,3,1,0,493,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidOutputTree,4,1,1,497,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidBrowserDetection,3,1,0,502,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidBrowserDetection,4,1,1,506,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidFallback,3,1,0,511,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidFallback,4,1,1,515,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidResolutionCache,3,1,0,520,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidResolutionCache,4,1,1,524,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidTmpFolder,3,1,0,529,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidTmpFolder,4,1,1,533,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidShutdownHook,3,1,0,538,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidShutdownHook,4,1,1,542,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isAvoidExternalConnections,3,1,0,547,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setAvoidExternalConnections,4,1,1,551,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getTimeout,3,1,0,556,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setTimeout,4,1,1,560,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isCommandsPropertiesOnlineFirst,3,1,0,565,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setCommandsPropertiesOnlineFirst,4,1,1,569,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getCommandsPropertiesUrl,3,1,0,574,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setCommandsPropertiesUrl,4,1,1,578,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isClearResolutionCache,3,1,0,583,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setClearResolutionCache,4,1,1,587,0,,
wdm,io.github.bonigarcia.wdm.config,Config,isClearDriverCache,3,1,0,592,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setClearDriverCache,4,1,1,596,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getArchitecture,10,3,0,601,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setArchitecture,4,1,1,612,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getOs,3,1,0,617,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getOperatingSystem,3,1,0,621,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,setOs,4,1,1,625,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getProxy,3,1,0,630,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setProxy,4,1,1,634,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getProxyUser,3,1,0,639,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setProxyUser,4,1,1,643,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getProxyPass,3,1,0,648,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setProxyPass,4,1,1,652,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getIgnoreVersions,8,2,0,657,0,io.github.bonigarcia.wdm.config.Config,io.github.bonigarcia.wdm.config.Config
wdm,io.github.bonigarcia.wdm.config,Config,setIgnoreVersions,4,1,1,666,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getGitHubToken,3,1,0,671,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setGitHubToken,4,1,1,675,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getDefaultBrowser,3,1,0,680,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setDefaultBrowser,4,1,1,684,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getTtl,3,1,0,689,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setTtl,4,1,1,693,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getTtlForBrowsers,3,1,0,698,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setTtlForBrowsers,4,1,1,702,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getResolutionCache,3,1,0,707,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setResolutionCache,4,1,1,711,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getBrowserVersionDetectionRegex,3,1,0,716,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setBrowserVersionDetectionRegex,4,1,1,720,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDriverVersion,3,1,0,725,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDriverVersion,4,1,1,729,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeVersion,3,1,0,734,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeVersion,4,1,1,738,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDriverExport,3,1,0,743,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDriverExport,4,1,1,747,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDriverUrl,3,1,0,752,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDriverUrl,4,1,1,756,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDriverMirrorUrl,3,1,0,761,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDriverMirrorUrl,4,1,1,765,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDriverCfTMirrorUrl,3,1,0,770,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDriverCfTMirrorUrl,4,1,1,774,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeDownloadUrlPattern,3,1,0,779,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeDownloadUrlPattern,4,1,1,783,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeGoodVersionsUrl,3,1,0,788,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeGoodVersionsUrl,4,1,1,792,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getChromeLastGoodVersionsUrl,3,1,0,797,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setChromeLastGoodVersionsUrl,4,1,1,801,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getEdgeDriverVersion,3,1,0,806,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setEdgeDriverVersion,4,1,1,810,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getEdgeVersion,3,1,0,815,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setEdgeVersion,4,1,1,819,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getEdgeDriverExport,3,1,0,824,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setEdgeDriverExport,4,1,1,828,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getEdgeDriverUrl,3,1,0,833,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setEdgeDriverUrl,4,1,1,837,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getEdgeDownloadUrlPattern,3,1,0,842,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setEdgeDownloadUrlPattern,4,1,1,846,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getGeckoDriverVersion,3,1,0,851,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setGeckoDriverVersion,4,1,1,855,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFirefoxVersion,3,1,0,860,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setFirefoxVersion,4,1,1,864,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFirefoxDriverExport,3,1,0,869,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setFirefoxDriverExport,4,1,1,873,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFirefoxDriverUrl,3,1,0,878,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setFirefoxDriverUrl,4,1,1,882,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFirefoxDriverMirrorUrl,3,1,0,887,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setFirefoxDriverMirrorUrl,4,1,1,891,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getFirefoxDriverGoodVersionsUrl,3,1,0,896,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setFirefoxDriverGoodVersionsUrl,4,1,1,900,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getIExplorerDriverVersion,3,1,0,905,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setIExplorerDriverVersion,4,1,1,909,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getIExplorerDriverExport,3,1,0,914,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setIExplorerDriverExport,4,1,1,918,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getIExplorerDriverUrl,3,1,0,923,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setIExplorerDriverUrl,4,1,1,927,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getOperaDriverVersion,3,1,0,932,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setOperaDriverVersion,4,1,1,936,0,,
wdm,io.github.bonigarcia.wdm.config,Config,getOperaVersion,3,1,0,941,0,,
wdm,io.github.bonigarcia.wdm.config,Config,setOperaVersion,4,1,1,945,0,,
